ABITI USATI,CLOTHES,,
ACCENDINI,GENERIC,,
ACCUMULATORI PER AUTO,LANDFILL,AUTHORIZED_DEALERS,
ACETONE,LANDFILL,,
ACIDI,LANDFILL,,
ACQUARAGIA,LANDFILL,,
ADESIVI,GENERIC,,
AGENDE (DI CARTA),PAPER,,
AGHI (PROTETTI),GENERIC,,
ALCOOL (contenitore vuoto),PLASTIC,,
ALIMENTI DETERIORATI,HUMID,,
ALLUMINIO,GLASS,,
AMIANTO,SPECIALIZED,,
AMMONIACA (contenitore vuoto),PLASTIC,,
ANTENNE,LANDFILL,LARGE,
ANTIPARASSITARI,LANDFILL,,
ANTIRUGGINE,LANDFILL,,
ANTITARME,LANDFILL,,
APPARECCHIATURE ELETTRICHE ED ELETTRONICHE (asciugacapelli, aspirapolvere, computer, tv, ecc.),LANDFILL,LARGE,
APRISCATOLE,GLASS,,
ARMADIO,LANDFILL,LARGE,
ASSE DA STIRO,LANDFILL,LARGE,
ASSORBENTI IGIENICI,GENERIC,,
ATTACCAPANNI (ferro, legno, plastica),LANDFILL,LARGE,
AUDIOCASSETTE,GENERIC,,
AVANZI DI CIBO,HUMID,,
BACINELLE IN PLASTIC,LANDFILL,LARGE,
BAMBOLE,GENERIC,,
BAMBU’,HUMID,GREEN,
BARATTOLAME (vetro, alluminio, banda stagnata),GLASS,,
BARATTOLI IN PLASTIC,PLASTIC,,
BATTERIE PER CELLULARI,LANDFILL,LARGE,
BATUFFOLI IN COTONE,GENERIC,,
BENDE E GARZE (origine domestica),GENERIC,,
BIANCHERIA,CLOTHES,,
BICCHIERE IN PLASTIC,PLASTIC,,
BICCHIERE IN VETRO,GLASS,,
BICICLETTA,LANDFILL,LARGE,
BIGIOTTERIA,GENERIC,,
BILANCE,LANDFILL,LARGE,
BIRO,GENERIC,,
BISCOTTI,HUMID,,
BISTECCHIERA/PIASTRA,LANDFILL,,
BLISTER PER PASTIGLIE,PLASTIC,,
BOCCETTA PROFUMO (in vetro),GLASS,,
BOMBOLE A GAS,AUTHORIZED_DEALERS,,
BOMBOLETTE SPRAY CON SIMBOLI T E F,LANDFILL,,
BORSE (pelle, tela, cuoio),CLOTHES,,
BOTTIGLIE IN PLASTIC (vuote) es. acqua, bibite, alcool, candeggina, detersivi etc.,PLASTIC,,
BOTTIGLIE IN VETRO (svuotate),GLASS,,
BOTTONI,GENERIC,,
BOX PER BAMBINI,LANDFILL,LARGE,
BRIK (latte, succhi di frutta, tetrapak),PAPER,,
BUCCE FRUTTA E VERDURA,HUMID,,
BUSTE E INCARTI TIPO CELLOPHANE PER ALIMENTI (pasta, riso, patatine, caramelle),PLASTIC,,
CAFFE’ (cialda rigida in plastica),GENERIC,,
CAFFE’ (fondi, cialde in carta),HUMID,,
CAFFETTIERA,GLASS,,
CALCINACCI (modeste quantità),LANDFILL,,
CALCOLATRICE,LANDFILL,LARGE,
CALZE E CALZINI (nylon, lana, cotone),CLOTHES,,
CANDELE/CERI,GENERIC,,
CAPELLI,HUMID,,
CAPPELLI,CLOTHES,,
CARNE,HUMID,,
CARROZZINE,LANDFILL,LARGE,
CARTA,PAPER,,
CARTA CARBONE,GENERIC,,
CARTA ARGENTATA (uovo di Pasqua, caramelle),GENERIC,,
CARTA OLEATA PER ALIMENTI,GENERIC,,
CARTA STAGNOLA (in alluminio, pulita),GLASS,,
CARTA VETRATA,GENERIC,,
CARTOLINE,PAPER,,
CARTON GESSO,SPECIALIZED,,
CARTONE,PAPER,,
CARTONE PIZZA VUOTO,PAPER,,
CARTUCCE ESAUSTE,LANDFILL,AUTHORIZED_DEALERS,
CASCO MOTO, MOTORINO, BICI,LANDFILL,LARGE,
CASSETTE AUDIO E VIDEO,GENERIC,,
CASSETTE di legno,LANDFILL,,
CASSETTE di plastica,LANDFILL,,
CATENE DA NEVE,LANDFILL,LARGE,
CELLOPHANE,PLASTIC,,
CELLULARE,LANDFILL,LARGE,
CENERE (raffreddata uso domestico),HUMID,,
CERAMICA (piccole quantità),GENERIC,,
CERAMICA (grosse quantità),LANDFILL,,
CEROTTI,GENERIC,,
CHEWING GUM,GENERIC,,
CHIAVI,GLASS,,
CHIODI,GLASS,,
CIBO (avanzato, cotto e crudo),HUMID,,
CICCHE DI SIGARETTA,GENERIC,CONTENITORI STRADALI,
CINTURE (plastica, stoffa, cuoio),CLOTHES,,
COLLE E COLLANTI,LANDFILL,,
COMBUSTIBILI LIQUIDI,LANDFILL,LARGE,
COMPUTER,LANDFILL,,
CONGELATORE,LANDFILL,LARGE,
CONTENITORIIN PLASTIC DA ARREDO,LANDFILL,LARGE,
CONTENITORI IN PLASTICA (grandi dimensioni),LANDFILL,LARGE,
CONTENITORI PER ALIMENTI (tonno,conserva)",GLASS,,
COPERCHI BARATTOLI YOGURT,GLASS,,
CORNICI IN PLASTIC, METALLO O LEGNO VERNICIATO,LANDFILL,LARGE,
COTTON FIOC,GENERIC,,
CRISTALLO,LANDFILL,LARGE,
